n,q,trial,monotone,max_relative_error_order1,max_relative_error_order2,max_relative_error_order3
5,3,0,True,0.14102480420330932,0.0903177864101714,3.4480867089214007e-16
5,3,1,True,0.15365276230617003,0.08474203991702949,0.09551982157278356
5,3,2,True,0.41983322826053426,0.3954712777131687,0.5089642750343004
5,3,3,True,0.24674711579819952,0.24469967994888017,0.2075464514382107
5,3,4,True,0.4614704362684418,0.32053740097017613,0.4931611724235995
5,3,5,True,0.153944392496449,0.04926226727738463,0.06860813689819362
5,3,6,True,0.7195101027034397,0.3869248368786564,0.877752767730768
5,3,7,True,0.27001734330293703,0.19008150141010696,0.07460277979681211
5,3,8,True,0.258116559156547,0.17933272467886946,0.04893868247666739
5,3,9,True,0.422926753651984,0.3509711644585599,0.3699529043031534
5,3,10,True,0.3107584006194798,0.1529343953382838,0.0009761354152787979
5,3,11,True,0.31740434364977754,0.29136615508352576,0.07501224799447344
5,3,12,True,0.30517236223572325,0.10935184974935708,0.10744058053060457
5,3,13,True,0.23122728337937193,0.069964603183537,0.0706460481020446
5,3,14,True,0.33042154049171674,0.1922824493422829,0.20545789987715005
5,3,15,True,0.3068637538252855,0.09443092530328182,0.0
5,3,16,True,0.1827793413796555,0.17101165069964275,0.10698832805766624
5,3,17,True,0.5065377991829846,0.31875977321057747,0.08215200036401295
5,3,18,True,0.3842266210644129,0.2744551530436973,0.15003012120371761
5,3,19,True,0.23224529999296678,0.18579723418818805,0.1795482964550624
5,3,20,True,0.09672884207782706,0.038490396870374324,1.7227385275827006e-16
5,3,21,True,0.17813545070148573,0.12295322504515463,0.07744535688485678
5,3,22,True,0.3753752885102876,0.2180531509243411,0.2672061094567203
5,3,23,True,0.3303679718508296,0.263087887366625,0.4035209934581571
5,3,24,True,0.1787715758009285,0.03415081349380174,2.2120217748501764e-16
5,3,25,True,0.4586124546785496,0.29629649377966927,0.6104639055685399
5,3,26,True,0.014808374342086122,0.013826841991808465,1.1261847356546852e-16
5,3,27,True,0.10045604895520997,0.018719781814998022,2.808584533227453e-16
5,3,28,True,0.495137262429292,0.26698903811388114,0.07403049000719336
5,3,29,True,0.5173650161357569,0.1857555776395681,0.05313125318300904
5,3,30,True,0.1896963029302029,0.18491709581505222,0.15925420240390872
5,3,31,True,0.23751900327232972,0.18576275636597622,0.15690978445832834
5,3,32,True,0.3177209163642585,0.1852707005407277,0.05299779297754849
5,3,33,True,0.12338215727820019,0.06637309899136992,1.71837723382134e-16
5,3,34,True,0.20263538359982716,0.1704999594729934,0.11407450746772932
5,3,35,True,0.4045837033585351,0.35774030438464066,2.0786795069544317e-16
5,3,36,True,0.4001017279652336,0.2627615165000731,0.24045411283076074
5,3,37,True,0.3213372919931547,0.31739130594114495,0.5815829618881254
5,3,38,True,0.28617025784183864,0.21590239457814353,0.28714839131151604
5,3,39,True,0.4072446394410525,0.3511075390832366,0.5703527777693838
5,3,40,True,0.4494197651292549,0.16085553559730617,0.1841100411825755
5,3,41,True,0.2887044846658854,0.2153536888532552,0.13450607045297303
5,3,42,True,0.2911919176811481,0.28274938203897443,0.35904365253993753
5,3,43,True,0.3614939625179302,0.28473854421594363,0.09566563866875578
5,3,44,True,0.4319251189805839,0.23976972717798126,0.01122306903838993
5,3,45,True,0.3405939725899046,0.09340730523929983,0.06566458080765256
5,3,46,True,0.09466208482526157,0.08212831630354687,3.730109594028963e-16
5,3,47,True,0.19857480751473425,0.10722704529464108,0.030826569286060562
5,3,48,True,0.1805185211484212,0.11825927916531462,0.0
5,3,49,True,0.4208504223364347,0.23188083837279355,0.25503537448548347
5,3,50,True,0.3440545979489337,0.3267710291573323,0.46030834583947805
5,3,51,True,0.23329186424452727,0.06556836694482476,1.7446437752858837e-16
5,3,52,True,0.41668842073316625,0.23927652831898857,1.8594383676881527e-16
5,3,53,True,0.2593925336766956,0.12478326407226616,0.17534962881861055
5,3,54,True,0.35962300726209007,0.3133955643265143,0.05686895555037067
5,3,55,True,0.7405045568796759,0.6469381906191735,1.3974207980042768
5,3,56,True,0.3579764990447773,0.18466411397157462,0.3069654601431472
5,3,57,True,0.3772338594099831,0.34425957574721616,0.49587403344700537
5,3,58,True,0.3773403183301061,0.25648382729028607,0.44808997127626643
5,3,59,True,0.17260147995260294,0.12603960949023965,0.025892620321095423
5,3,60,True,0.07694492818606384,0.04597781056651576,2.1944787554492035e-16
5,3,61,True,0.29001353374127825,0.1600434158085926,2.1779252909986242e-16
5,3,62,True,0.3146177957333221,0.2814430841009499,0.28839129202724373
5,3,63,True,0.40456935149124557,0.24410748984828423,0.13225253787760982
5,3,64,True,0.4558214225568027,0.34554583131303457,0.2388946871121485
5,3,65,True,0.18130448184134426,0.08810165197483621,0.048944327905731735
5,3,66,True,0.393536376787048,0.36968307934647066,0.12596538192124235
5,3,67,True,0.3790900860144189,0.1676894972918777,0.08694953312312897
5,3,68,True,0.15386902137654923,0.13401300504488636,0.06259929621897373
5,3,69,True,0.25875141285065606,0.17408983832087258,0.15634671904506553
5,3,70,True,0.5910951052334884,0.29385435101371554,0.5259346029215931
5,3,71,True,0.3943736459745475,0.36962532465532794,0.20734422321109985
5,3,72,True,0.39550197072222426,0.3584877688535049,0.3947557881693836
5,3,73,True,0.30116483966466506,0.11024324374020818,0.12567705083001637
5,3,74,True,0.40964502716112566,0.3907148396544824,0.4823863904188807
5,3,75,True,0.25795855977685717,0.13562359490666367,0.08112424962584006
5,3,76,True,0.2875390326398356,0.1393383733396719,0.11010640928802204
5,3,77,True,0.30895595064451303,0.17566766404923723,0.12349835044436387
5,3,78,True,0.2621580169449459,0.04242217291838686,0.011913546971517627
5,3,79,True,0.1469657352446372,0.0632736693925159,1.648259139005564e-16
5,3,80,True,0.199566331209156,0.1325628873881713,2.1603959844909335e-16
5,3,81,True,0.46478685407705783,0.223572010333058,0.2431480497721031
5,3,82,True,0.3049394195617609,0.2929066400159308,0.2592945046381792
5,3,83,True,0.1942252901518918,0.15398561369435482,0.09123247450977423
5,3,84,True,0.5004058258119521,0.46600507917238615,1.0011699175452036
5,3,85,True,0.1306816484614043,0.09973207120223071,0.03909219748781256
5,3,86,True,0.37210367443167475,0.2925833227577539,1.3917406558043405e-16
5,3,87,True,0.6027076411732696,0.3261886079651901,0.2369708236156369
5,3,88,True,0.16889297072634324,2.949514236141869e-16,1.682164327856917e-16
5,3,89,True,0.40023137494803723,0.1787637461352782,0.16501260702053186
5,3,90,True,0.2926608215073804,0.1328300997867899,0.024286737983087038
5,3,91,True,0.4400359214259051,0.29557634181307224,0.31801166070194525
5,3,92,True,0.30930894848870333,0.29226560581960914,0.5017666468558973
5,3,93,True,0.27200251001709663,0.24897313200116164,0.45521011988449445
5,3,94,True,0.2224797645440664,0.17227897968517206,0.03864679718849159
5,3,95,True,0.5950183115847959,0.3545510745952181,0.11573134745418075
5,3,96,True,0.462494104984614,0.24399613638463066,0.44661458902993134
5,3,97,True,0.37135819253775076,0.29980196862419234,0.191501796075801
5,3,98,True,0.4576227877097882,0.22524478944142312,0.014103358380714626
5,3,99,True,0.2840471780443756,0.1494114182687237,0.047985026244971286
9,5,0,True,0.4340110992051216,0.5069478684858466,0.48445582435047707
9,5,1,True,0.4953619397473631,0.38679597585407394,0.23914700970609926
9,5,2,True,0.10256972989230284,0.12210417215109629,0.10190633390240295
9,5,3,True,0.27404322390257424,0.17702950610589885,0.21769649219788975
9,5,4,True,0.30420249664018256,0.19077557734214023,0.2309144114145817
9,5,5,True,0.29749116744974335,0.2829361429441629,0.7534561500707144
9,5,6,True,0.40204182291357565,0.27351571870696084,0.27844872299308204
9,5,7,True,0.3288399875221134,0.28777952261146356,0.8196542677744626
9,5,8,True,0.28083392794779244,0.16831246535519245,0.1389200120729005
9,5,9,True,0.5243093480245897,0.6696167174190585,0.519441394918783
9,5,10,True,0.41823910489971605,0.254587932736515,0.22385870408889044
9,5,11,True,0.16960194211081567,0.1477993389382992,0.11645222808407596
9,5,12,True,0.37321652922711496,0.2750993370282611,0.1880714914023633
9,5,13,True,0.4938306127467027,0.46835069303194127,2.043541399722402
9,5,14,True,0.353390944695672,0.2756068375967317,0.18203665340917985
9,5,15,True,0.3800323300875357,0.20170830619147045,0.19619416397250997
9,5,16,True,0.3808806783797732,0.3511825656796769,0.15926398267949426
9,5,17,True,0.20310908279068854,0.09752232155592391,0.07513653908788327
9,5,18,True,0.22036937985309832,0.08729994164020216,0.06724713924633104
9,5,19,True,0.2633299684659503,0.164727439779482,0.13352592499154622
9,5,20,True,0.4577891021285782,0.3011213315194526,0.4352442995163769
9,5,21,True,0.2698357229421624,0.24964577980771488,0.18463760374539595
9,5,22,True,0.20893391712990295,0.19049079414121772,0.15939468485180247
9,5,23,True,0.4433516731152887,0.3238588326912443,0.5572270590248287
9,5,24,True,0.2568690031195037,0.18434423531875424,0.13128736813389835
9,5,25,True,0.29600822603105215,0.18957676048419403,0.23753622221758142
9,5,26,True,0.3604441320852832,0.30532241959101686,0.2957081817637253
9,5,27,True,0.2636246742959101,0.1923305141383649,0.1813016429588683
9,5,28,True,0.2946174719766318,0.1461457499242855,0.16034835664466085
9,5,29,True,0.4544689983084478,0.30879454485662,0.23383541147984202
9,5,30,True,0.3150248877959085,0.3127958808074187,0.7262692764771645
9,5,31,True,0.41472232346586624,0.2811414566188713,0.30625647777045684
9,5,32,True,0.4412976774344289,0.3099369242264056,0.6915822825673554
9,5,33,True,3.4536953265721117e-16,6.312459011348305e-16,3.683027904614527e-16
9,5,34,True,0.3793026122447094,0.33262586558501545,0.3031872293063658
9,5,35,True,0.5564195525048075,0.49937279859921524,0.5236731298124084
9,5,36,True,0.20309607417395004,0.0829852969687055,0.07228914589433985
9,5,37,True,0.28408778643507815,0.2692377809256722,0.1947660274537836
9,5,38,True,0.42818070957317383,0.34039505203901343,0.23764655187299144
9,5,39,True,0.5824290402679841,0.4645299865716006,1.58878641342265
9,5,40,True,0.3576700123731377,0.32417152809878347,0.2485111840713437
9,5,41,True,0.35697111028985884,0.2981541310288857,0.4017334117645764
9,5,42,True,0.3258359210336234,0.2815871064434396,0.6666315931338616
9,5,43,True,0.31195228651270773,0.1428245131797398,0.26448306834888335
9,5,44,True,0.4547214337381615,0.3016886338634756,0.4108819853783136
9,5,45,True,0.3347534564369029,0.22844627236768109,0.2802772583404526
9,5,46,True,0.32888664337103074,0.29241306119702654,0.3229637267903421
9,5,47,True,0.3153293351002098,0.2739024772573114,0.21445020832942085
9,5,48,True,0.3505593959924278,0.3851375124317789,0.2966360221212188
9,5,49,True,0.28025668470611126,0.13924505027871928,0.09464366468998281
9,5,50,True,0.30614496655691037,0.2072274569173645,0.30104804408249114
9,5,51,True,0.20643240953071287,0.18885596341511438,0.17846570399920167
9,5,52,True,0.4445125648509826,0.40779194580071565,0.40191611530400745
9,5,53,True,0.2680551455984916,0.2612101250623767,0.21531458458007668
9,5,54,True,0.4386390513777198,0.3040672211589724,0.24111401414430184
9,5,55,True,0.26184714402627257,0.238228970146729,0.20895988515745903
9,5,56,True,0.34617134108315606,0.3400255786623299,0.25921951885256805
9,5,57,True,0.24661171438243587,0.21777738526182686,0.15423232777585213
9,5,58,True,0.2179222530940297,0.2811115531107077,0.25817771331090544
9,5,59,True,0.31141460337148524,0.2952445967251619,0.4906511944675884
9,5,60,True,0.41528699656370754,0.3775815261877464,0.3087010714607104
9,5,61,True,0.5196115414949808,0.37270975219614494,0.2888953120270923
9,5,62,True,0.43153409960113,0.16217308202490152,0.29539264466682424
9,5,63,True,0.2866649261384613,0.180840679707294,0.11113491153091276
9,5,64,True,0.39402242979349544,0.31987626535494235,0.6596517092644243
9,5,65,True,0.270377870268439,0.14323091909050997,0.1378158591137605
9,5,66,True,0.2685384694764563,0.177590188626569,0.14446683849502243
9,5,67,True,0.3566202824224245,0.33979232549578114,0.23530932468605928
9,5,68,True,0.4782901663889059,0.40971510154664403,0.33436051208750134
9,5,69,True,0.5935971170255825,0.37969196804253413,0.1921365726978607
9,5,70,True,0.426667687033635,0.330568735617539,0.4770898924332234
9,5,71,True,0.4612786134409957,0.17113105784091906,0.3946542360194185
9,5,72,True,0.2718435983764811,0.23298260270081508,0.4540177129964174
9,5,73,True,0.3555590942922629,0.21616541991805496,0.2266269052930407
9,5,74,True,0.3838990110468171,0.2387430033837415,0.3403013049220272
9,5,75,True,0.5411019111949557,0.29661142928284767,0.36569414890992147
9,5,76,True,0.3224604122443688,0.27504431217479064,0.3858634215250051
9,5,77,True,0.29243033429911564,0.17280032977520676,0.13765574120606444
9,5,78,True,0.35885510975765655,0.22851808539523794,0.3764029982975831
9,5,79,True,0.2913057972414936,0.24673791896038766,0.17643605844632138
9,5,80,True,0.33806752821542096,0.21355757201018985,0.393347741599162
9,5,81,True,0.3056933017512824,0.22921413343309976,0.32750712672534654
9,5,82,True,0.3114111547566407,0.29880855703373776,1.2473128770581305
9,5,83,True,0.2832847315981429,0.21273522037327913,0.17462212776568536
9,5,84,True,0.45589123020471733,0.2745834537200292,0.9045784138452299
9,5,85,True,0.32327534298674576,0.2156682264857627,0.2302818377260866
9,5,86,True,0.4607870893125864,0.3966034555117773,1.1438950306994748
9,5,87,True,0.34423569827299766,0.2737513280525357,0.2382457679350728
9,5,88,True,0.3466665989845672,0.22453525212977155,0.527876409145077
9,5,89,True,0.3636374199859949,0.3597743494874266,0.32403386335684886
9,5,90,True,0.33202728432969375,0.16891661091414686,0.14323531531597045
9,5,91,True,0.4503331196908125,0.23800661064343906,0.2994135373959783
9,5,92,True,0.26907503445841635,0.245331871426704,0.20179693597897894
9,5,93,True,0.3275026602906002,0.20406517286723733,0.11689152693533882
9,5,94,True,0.46891288845776263,0.2761235147526241,0.6153562124359016
9,5,95,True,0.4130283188772431,0.37149457307154066,0.2789329500826252
9,5,96,True,0.4461185879784613,0.4297430850653503,0.47786761101953074
9,5,97,True,0.20950838136994152,0.17410940664040758,0.11676189407093945
9,5,98,True,0.3701656341314132,0.1761221214830616,0.3452690380080661
9,5,99,True,0.3240822637302453,0.22837393393419297,0.293742065140174
11,6,0,True,0.3695984311518869,0.3674172902682037,0.3160284477602406
11,6,1,True,0.41574824529589555,0.2373686810250776,0.4429625909654813
11,6,2,True,0.21192973228157236,0.14492408410486946,0.11469482710763976
11,6,3,True,0.336576171211249,0.3050977877942378,0.4343034448681185
11,6,4,True,0.4032209824118843,0.3426655708281587,0.26019763642295585
11,6,5,True,0.28525484277271407,0.184700903870452,0.6341877481519518
11,6,6,True,0.29326905027489897,0.19208041293025396,0.38300193460108856
11,6,7,True,0.39935450025837793,0.2756624898269671,0.4204797485910372
11,6,8,True,0.4358043385361848,0.3900608728955352,0.7653008354542946
11,6,9,True,0.30197463459858737,0.2753426179100287,0.2775487740307241
11,6,10,True,0.4356994064821024,0.3230714119731587,0.49573545594887286
11,6,11,True,0.16135259366492483,0.15440129417109535,0.15015305947859894
11,6,12,True,0.38571407315447626,0.21740348316147437,0.4063644052024872
11,6,13,True,0.23098152610222822,0.21182337066845242,0.21167960354646034
11,6,14,True,0.2710143262796152,0.17896029531503455,0.11069768659902356
11,6,15,True,0.3183666109903374,0.4256211366278402,0.5107874023881026
11,6,16,True,0.20468567548927788,0.18652532659762694,0.16407269791288476
11,6,17,True,0.2938635929072488,0.2607063555092314,0.21588957027775804
11,6,18,True,0.1909113532363681,0.15871028775805548,0.1601250053271633
11,6,19,True,0.43593919342869436,0.25759425685211446,1.1900797431884866
11,6,20,True,0.4678150106632136,0.3244949102683221,0.8972234841657019
11,6,21,True,0.18926706950034067,0.15806930904318955,0.15255919274814364
11,6,22,True,0.5928170451282315,0.4506612107512888,2.567700917659172
11,6,23,True,0.3807433330427621,0.19614711687318984,0.5125034972925497
11,6,24,True,0.2715880373983728,0.14103062234487812,0.14021081660864437
11,6,25,True,0.296203465163491,0.2537850711178101,0.5983838048657228
11,6,26,True,0.3648938211210397,0.29590201984035297,0.2551761315100839
11,6,27,True,0.1851095916985734,0.13351298923179966,0.18604505215471825
11,6,28,True,0.27421935345495674,0.17900710703581146,0.23862024870284296
11,6,29,True,0.44156551023543966,0.22352337843252693,0.19102080070313687
11,6,30,True,0.3203420458364349,0.17679699765994364,0.3304714837699625
11,6,31,True,0.3644871895091672,0.3462477157256686,0.25755342812193627
11,6,32,True,0.2835218896183131,0.232082879273777,0.1753164084562691
11,6,33,True,0.18648349587328064,0.16882017565901064,0.16224705391772198
11,6,34,True,0.2662024003299414,0.2565039582094291,0.22642813682135973
11,6,35,True,0.3091804306318347,0.2378689022384494,0.2743166117092837
11,6,36,True,0.32284862755052485,0.18139653292490218,0.3814447836138532
11,6,37,True,0.13260395519304877,0.08419748278546008,0.08961791105797125
11,6,38,True,0.16103873292638515,0.12814852066670512,0.10787112938872134
11,6,39,True,0.43957647164725416,0.4052931460827686,1.2141247599757126
11,6,40,True,0.47845832315386155,0.4600050288487386,1.0588274611938104
11,6,41,True,0.3147734634170145,0.26759582581734037,0.3302233195807859
11,6,42,True,0.48392087169998993,0.43740291495234584,0.4451624277879018
11,6,43,True,0.4288126450724504,0.21754029628318022,0.20694833732487936
11,6,44,True,0.18983021725916038,0.11893878299714866,0.08429985553278362
11,6,45,True,0.5131175388231062,0.5953427669121859,0.612185928309794
11,6,46,True,0.23981141463403738,0.138488803731947,0.12847808158976304
11,6,47,True,0.23847802188039643,0.14038402435791608,0.2868600359137636
11,6,48,True,0.2953376001546812,0.1942829776332676,0.1961639879009769
11,6,49,True,0.3652293566434521,0.29660055689717785,0.3254067785508534
11,6,50,True,0.44313921442089943,0.26268744353791507,0.253326176234849
11,6,51,True,0.30129635653593545,0.2755373235223532,0.31280320607179635
11,6,52,True,0.3462116662645211,0.33519036588714046,0.2598237462498978
11,6,53,True,0.3881422686119695,0.3440222772914818,0.5147592422440833
11,6,54,True,0.4125439532943346,0.21687372251401837,0.24559332725005192
11,6,55,True,0.41267347932307474,0.35607401259865684,0.5787566180234032
11,6,56,True,0.241636044787184,0.18012863952477193,0.1564411788540936
11,6,57,True,0.20801834317373963,0.21787066425007492,0.20817301496216298
11,6,58,True,0.2557085999542847,0.23260529379961836,0.1307523273393813
11,6,59,True,0.3693746073679527,0.3493152844344996,0.3579888954350162
11,6,60,True,0.4471707384979598,0.30217889916159524,0.3782582207537417
11,6,61,True,0.3482896521197509,0.2716098558980522,0.3067291496250743
11,6,62,True,0.27717830670921134,0.23249487088395906,0.20583814918467366
11,6,63,True,0.38411218806360975,0.22223000283688518,0.40079941795351876
11,6,64,True,0.2644070803309749,0.24867939929435864,0.16599052945812037
11,6,65,True,0.23132063313082474,0.19448751478248424,0.14596752104553745
11,6,66,True,0.20768687638425382,0.17845181606478183,0.1218607032173226
11,6,67,True,0.22088359288550058,0.20367922755547804,0.1737080829184201
11,6,68,True,0.126724833620238,0.11988719804043882,0.11947984219947892
11,6,69,True,0.30615888207102643,0.1050265049555728,0.17167250705035889
11,6,70,True,0.49113377630894706,0.3159792850570181,0.44564148964786915
11,6,71,True,0.39800129344832313,0.2175447993741231,0.4049939503290925
11,6,72,True,0.44100679707353546,0.2562744051381877,0.28332809760288835
11,6,73,True,0.33405430821525783,0.2631897852594666,0.2916962183368241
11,6,74,True,0.2807497351909891,0.13103045766475188,0.3187642387123037
11,6,75,True,0.3085119260413711,0.19663547719240568,0.36538210493614187
11,6,76,True,0.39215787173585537,0.42916653463592286,0.43932142550057734
11,6,77,True,0.33733661133614173,0.304471237349156,0.1843496091738943
11,6,78,True,0.5941584502791807,0.3518961845947888,0.3172444963750222
11,6,79,True,0.27712463814469496,0.13184451762896762,0.11925460858469498
11,6,80,True,0.3563937783984052,0.16467396071357093,0.8360594510301814
11,6,81,True,0.2888571858503706,0.27102250002028483,0.2944235570941952
11,6,82,True,0.35770580681283215,0.3305380241015292,0.24342549377558081
11,6,83,True,0.5362784855098075,0.48858360592710476,0.4070746324863945
11,6,84,True,0.32202960438848804,0.21733855020322224,0.21801903833920963
11,6,85,True,0.3353950030147995,0.1706737654297077,0.15442991871128672
11,6,86,True,0.49089650804834045,0.4215227991503904,1.7931035439875116
11,6,87,True,0.591363238775507,0.40484357227251977,0.9355986642896118
11,6,88,True,0.5915096944690874,0.4200992850885566,0.9801331264144328
11,6,89,True,0.38369200671531584,0.30243834495264227,0.2544364921308859
11,6,90,True,0.4531086549155833,0.41073909249735946,0.6073694213735471
11,6,91,True,0.4255074688431545,0.17561283358244745,0.1589880915743171
11,6,92,True,0.45022681251447333,0.33303059445317307,0.30491393019251894
11,6,93,True,0.3501908888095727,0.3424006345403417,0.5851805024156866
11,6,94,True,0.3531975979610172,0.3514067868574945,0.2255972143388199
11,6,95,True,0.477879112546831,0.46574196635477716,0.454427444280658
11,6,96,True,0.40692371001563893,0.2561788496225834,0.46649854832013554
11,6,97,True,0.3542952495277075,0.1915645341080278,0.167241418702238
11,6,98,True,0.30257314318217143,0.21919485129248606,0.33281211493726065
